,Content,Label
0,"Datrageekz LLC
Big Data Developer
Remote
Employer Provided Salary:$50.00 - $55.00 Per Hour

 The primary focus of this Big Data Developer Engineer will be on the new mission Data Forge in the Cloud platform (Azure, Google) involving data mesh architecture. This role ensure that Data Forge (DF) operates with high reliability, availability, and performance at scale for our customers. The Data Forge team is looking for a Big Data Developer Engineer with Cloud experience and a diverse set of experiences and skillsets to help maintain exciting new initiative running on Google Cloud infrastructure. As Cloud SRE/Cloud engineer you will provide service reliability and availability via following SRE practices.
Your job function comes with SRE mindset and a set of engineering practices to run reliable production systems. You will help to implement SRE principles through opensource tooling, and automation and prevent toil. Automate end to end, from writing code to running services in production. Leverage SRE principles developed and proven to work at scale.
You will partner with Engineering teams to understand their challenges, work through their issues, and provide solutions that can be adopted widely. The ideal candidate is someone with a proven track record, sound technical knowledge and skills in delivering large scale complex software solutions deployed. This role will be responsible for designing, building, running, and monitoring public cloud infrastructure to support a variety of mission critical services. This is a highly technical, hands-on role that requires expertise supporting systems at enterprise level.
Can you please provide a summary of the project/initiative which describes whats being done?
Data Lake connects data to people and technologies and unearths valuable insights. By investing in these resources during a time of rapid change in the global marketplace, Client is poised to continue achieving its mission of helping people live healthier lives and making the health system work better for everyone.
Some of the features of Client Data Lake
Serves as Client's repository of strategic and widely-used data sources from each major segment of the enterprise
Adapts to evolving business requirements for volume, variety, velocity and veracity
Provides an exact replication of source data along with metadata about the source system
Secures data access at the source level in line with an established platform governance framework
Job Type: Full-time
Pay: $50.00 - $55.00 per hour
Schedule:
8 hour shift
Experience:
Big data: 7 years (Preferred)
Google Cloud Platform: 8 years (Preferred)
Work Location: Remote",glassdoor
1,"ONE IT CORP
Big Data Developer
Remote
Employer Provided Salary:$30.00 - $40.00 Per Hour

 Job Description: -
3 to 5 years experience
Strong Hands-on experience in the Hadoop ecosystem such as Hive, Pig, HDFS, HBase, MapReduce, Spark, Spark Streaming.
Strong in Relational Databases such as Oracle, PostgreSQL, Languages Java and/or Python.
This individual must have experience working is a Agile teams
Must have a solid understanding of the Hadoop ecosystem, Strong Java/Spark-SQL development skills.
Must know techniques to improve performance of Athena SQL
Must have the ability to document business logic by understanding existing Oracle code
Job Types: Contract, Full-time
Salary: $30.00 - $40.00 per hour
Schedule:
8 hour shift
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: Remote",glassdoor
2,"Snappyhires
4.7
Big Data Developer
Remote
Employer Provided Salary:$105K - $110K

 Big Data Developer - Remote - (C2C do not apply)
Big data, spark, pyspark, hive, sql, AWS, Snowflake(optional)
Job Types: Full-time, Contract
Salary: $105,000.00 - $110,000.00 per year
Schedule:
8 hour shift
Experience:
Big data: 8 years (Preferred)
SQL: 4 years (Preferred)
Apache Hive: 4 years (Preferred)
Work Location: Remote",glassdoor
3,"Momentum Recruitment
Big Data Engineer
Remote
Employer Provided Salary:$60.00 - $70.00 Per Hour

 Requirements:
BS degree in computer science, computer engineering or equivalent
5 – 6 years of experience delivering enterprise software solutions
Proficient in Spark, Scala, Python, AWS Cloud technologies
3+ years of experience across multiple Hadoop / Spark technologies such as Hadoop, MapReduce, HDFS, HBase, Hive, Flume, Sqoop, Kafka, Scala
Flair for data, schema, data model, how to bring efficiency in big data related life cycle
Must be able to quickly understand technical and business requirements and can translate them into technical implementations
Experience with Agile Development methodologies
Experience with data ingestion and transformation
Solid understanding of secure application development methodologies
Experienced in developing microservices using spring framework is a plus
Experience in with Airflow and Python will be preferred
Understanding of automated QA needs related to Big data
Strong object-oriented design and analysis skills
Excellent written and verbal communication skills
Responsibilities:
Utilize your software engineering skills including Java, Spark, Python, Scala to Analyze disparate, complex systems and collaboratively design new products and services
Implement scalable and reliable distributed data replication strategies
Ability to mentor and provide direction in architecture and design to onsite/offshore developers
Collaborate with other teams to design and develop and deploy data tools that support both operations and product use cases
Perform analysis of large data sets using components from the Hadoop ecosystem
Own product features from the development, testing through to production deployment
Evaluate big data technologies and prototype solutions to improve our data processing architecture
Automate everything
Job Type: Full-time
Salary: $60.00 - $70.00 per hour
Schedule:
10 hour shift
8 hour shift
Experience:
big data engineer: 3 years (Preferred)
Work Location: Remote",glassdoor
4,"Brilliant Infotech
3.8
Big Data Developer
Remote
Employer Provided Salary:$50.00 - $60.00 Per Hour

 Description:
Verizon Artificial Intelligence and Data team is looking for Big Data engineers with expert level experience in developing enterprise software applications on Spark/Hadoop, NoSql, InMemory Databases. You will be part of the team building worlds one of the largest Big Data Platform(s) that can ingest 100’s of Terabytes of data that will be consumed for Business Analytics, Operational Analytics, Text Analytics, Data Services and build Big Data Solutions for various Verizon Business units
This is a unique opportunity to be part of building disruptive technology where Big Data will be used as a platform to build solutions for Analytics, Data Services and Solutions.
Essential Responsibilities:
Expert in writing code that meets standards and delivers desired functionality using the technology selected for the project with high quality
Responsible for programming a component, developing feature or frameworks
Work independently and contribute to the immediate team and to other teams across
Contribute to design discussions.
Skilled in analyze problem statements, breaking down problems
Ability to take ownership of small and medium-sized tasks and deliver while mentoring and helping team members.
Demonstrates the initiative to explore alternate technology and approaches to solving problems.
Desired Skills and Experience
Minimum 5 years of experience in Java or Scala (4 years with masters degree)
Minimum 4 years on Windows or Linux developing environments (2 years with masters degree)
Experience working with at least 1 NoSQL Databases (HBase, Cassandra, Couchbase) or relational database (Oracle, MySql, Teradata)
Empathizing and having a positive attitude is the most important skill
Able to work under minimal supervision. High energy, results driven person with strong interpersonal skills
Bachelor/Masters degree in Computer Science, Management Information Systems or related field
Skilled in core data structures and algorithms and implements them using appropriate chosen language
Nice to Have:
Hands on experience (coding) in developing solutions on GCP/Spark/BigData/Hadoop
Experience with components in Hadoop ecosystem (Hive, Oozie, Sqoop, Zookeeper)
Job Type: Contract
Pay: $50.00 - $60.00 per hour
Schedule:
8 hour shift
Experience:
Informatica: 9 years (Preferred)
SQL: 9 years (Preferred)
Data warehouse: 8 years (Preferred)
Work Location: Remote",glassdoor
5,"Laiba Technologies
3.6
Splunk Developer
Remote
Employer Provided Salary:$60.00 - $65.00 Per Hour

 7+ years of experience in IT with multiple technical disciplines such system management, Virtualization, Security, Networking, and Cloud
5+ year of experience in healthcare is Plus
Hands-on experiences in event management, big data analysis, programing and scripting, packet capture and analysis, performance matrix, Netflow, logging and event management, NOC/SOC, automation, Cloud technologies such IaaS, PaaS, and SaaS,
Hands-on experience with operational management and monitoring solutions, specifically:
â€¢ Event Management, such as Splunk, Rsyslog, and Greylog
â€¢ Agent and agentless operation tools, such as SNMP, BMP Patrol, and Nagios
â€¢ Sniffer tool, such as Wireshark, TCPdump, Nbox, etc
â€¢ Configuration management, such as NCM and Cisco ISE
â€¢ Automation, software development, and Scripting, such as Ansible, Powershell, Yaml, and Python
â€¢ Windows and Linux Servers
Job Type: Contract
Salary: $60.00 - $65.00 per hour
Schedule:
8 hour shift
COVID-19 considerations:
Wear mask
Work Location: Remote",glassdoor
6,"Freemind solutions
3.5
Big Data Engineer
Remote
Employer Provided Salary:$55.00 - $60.00 Per Hour

 Big data with python, Spark
· 5-10 years of experience as a Big Data Developer
· In-depth knowledge of Big Data technologies - Spark, HDFS, Hive, Kudu, Impala
· Solid programming experience in Python
· Production experience in core Hadoop technologies including HDFS, Hive and YARN
· Strong working knowledge of SQL and the ability to write, debug, and optimize distributed SQL queries
· Strong analytical abilities; ability to translate business requirements and use cases into a Hadoop solution, including ingestion of many data sources, ETL processing, data access, and consumption, as well as custom analytics
· Experience working with Data Governance tools like Apache Sentry, Kerberos, Atlas, Ranger
· Experience working with streaming data with technologies like Kafka, Spark streaming
· Strong understanding of big data performance tuning
· Experience handling different kinds of structured and unstructured data formats (Parquet/Delta Lake/Avro/XML/JSON/YAML/CSV/Zip/Xlsx/Text etc.)
Job Type: Contract
Pay: $55.00 - $60.00 per hour
Schedule:
8 hour shift
Experience:
Spark: 5 years (Required)
Python: 5 years (Required)
Work Location: Remote",glassdoor
7,"Talent Group
1.0
Qlik Developer
Columbia, SC
Employer Provided Salary:$55.00 - $60.00 Per Hour

 Hi ,
Hope you’re doing well..!!
Below position is with our implementation partner Cap Gemini, as of now not sure with the end client details.
Please go through the Job Description and let me know your thoughts.
Role: Qlik Developer
Location: Columbia, SC (Onsite)
Contract
Job Description: -
Strong experience with Qlik or Attunity data integration platform - replication, ingestion and streaming across a variety of sources
Good understanding or knowledge in data warehouses, and Big Data platforms.
Exposure with Qlik CDC engine
Hands on experience with Qlik Replicate Console
Knowledge on Qlik Administration tasks including Managing end Points and Tasks
Hands on in Managing Endpoints and source settings
Strong experience in Qlik Replication Job Scheduler
Knowledge on Qlik File and streaming engine
At least 4 yrs good hands on experience in QLIK Attunity Integration platform with change streaming, file transformations and generating the kinesis stream as target endpoint.
I would also appreciate it if you could send me an updated resume.
Thanks again.
Job Type: Contract
Salary: $55.00 - $60.00 per hour
Benefits:
Health insurance
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Columbia, SC 29201: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Speak with the employer
+91 847-474-3502",glassdoor
8,"Ghritachi Inc
Sr Big Data Engineer with AWS
Remote
Employer Provided Salary:$55.00 - $60.00 Per Hour

 Hi,
Please find the below Job Description. If interested, please share your updated resume along with below details.
Role: Sr Big Data Engineer with AWS
Location: Costa Mesa, CA // San Jose, CA // Allen, TX: Remote
Duration: 12+ Months
Job Description:
BS degree in computer science, computer engineering or equivalent
Proficient in Java/Scala, Spark, Kafka, Python, AWS Cloud technologies
Must have active current experience with Scala, Java, Python, Oracle, Cassandra, HBase, Hive
5+ years of experience across multiple Hadoop / Spark technologies such as Hadoop, MapReduce, HDFS, Cassandra, HBase, Hive, Flume, Sqoop, Spark, Kafka, Scala Familiarity with AWS scripting and automation
Flair for data, schema, data model, how to bring efficiency in big data related life cycle
Must be able to quickly understand technical and business requirements and can translate them into technical implementations
Experience with Agile Development methodologies
Experience with data ingestion and transformation
Solid understanding of secure application development methodologies
Experienced in developing microservices using spring framework is a plus
Understanding of automated QA needs related to Big data
Strong object-oriented design and analysis skills
Excellent written and verbal communication skills
Responsibilities
Utilize your software engineering skills including Java, Spark, Python, Scala to Analyze disparate, complex systems and collaboratively design new products and services
Integrate new data sources and tools
Implement scalable and reliable distributed data replication strategies
Ability to mentor and provide direction in architecture and design to onsite/offshore developers
Collaborate with other teams to design and develop and deploy data tools that support both operations and product use cases
Perform analysis of large data sets using components from the Hadoop ecosystem
Own product features from the development, testing through to production deployment
Evaluate big data technologies and prototype solutions to improve our data processing architecture
Automate everything
Thanks & Regards,
Sekhar
Job Type: Contract
Salary: $55.00 - $60.00 per hour
Schedule:
8 hour shift
Work Location: Remote
Speak with the employer
+91 9666202502",glassdoor
9,"Ampcus Tech Pvt Ltd
3.5
ETL/Big Data Developer
Remote
Employer Provided Salary:$40.81 - $60.00 Per Hour

 Job Roles and description:
The ETL / Big Data Developer will Design and develop/configure ETL Workflows and Mappings
Must be Proficient in Python Libraries: Numpy, Pandas, pytables, Matplot
BigData Technologies, Hive, Pig, PySpark, Spark, Data Warehousing is must
Analyze requirements and prepare the technical specification documents.
Developing ETL logic utilizing Informatica workflows, scripting and load utilities
Implement best practices, technical and operating standards (e.g. Run time improvements, Data Quality improvements) and workflow process
Developing and executing quality assurance and test scripts
Work with business analysts to understand business requirements and use cases
Participates with project & delivery teams on sessions for new applications transitioning to production support
Researches and evaluates alternative solutions and recommends the most efficient and cost effective application programming solution for continuous improvement opportunities
Problem solving and fixing technical issues
Partners with operational readiness team in coordinating & implementing projects into production environment
What you are good and should have
Minimum of 8 years of experience in understanding of best practices for building and designing ETL code
Strong Database experience with the ability to develop, tune and debug complex SQL applications is required
Knowledge in schema design, developing data models and proven ability to work with complex data is required
Qualifications:
Must have good experience in ETL/Big data/Python Developer—ETL , Big Data Python AWS SQL
Strong SQL knowledge and experience.
Having prior health care domain knowledge is preferable.
Job Type: Contract
Salary: $40.81 - $60.00 per hour
Benefits:
Dental insurance
Health insurance
Schedule:
8 hour shift
Experience:
Python: 4 years (Required)
SQL: 8 years (Required)
Big data: 5 years (Required)
Work Location: Remote",glassdoor
