,Content,Label
0,"WeLoveNoCode
4.5
Data Analyst
Remote
Employer Provided Salary:$40.00 - $100.00 Per Hour

 WeLoveNoCode is the world’s top platform connecting no-code/low-code experts with companies looking to build products quickly. We are looking for a Data Analyst to join the WeLoveNoCode Community. The ideal candidate can navigate complex data, visualize it, and form business conclusions using data.
Our Ideal Candidate has:
Bachelor's degree or equivalent
2+ years' experience with Data Analytics
1+ years of experience with Google Analytics
1+ years of experience with Tableau, Microsoft Power BI, Looker or any comparable BI tools
Working knowledge of SQL
Working knowledge of Microsoft Excel and/or Google Sheets
Experience with Python is a plus, but not required
Expert communication and prioritization skills
Expert time management skills
English level: B2+
What we offer:
Set your own hourly rates
Flexibility to work full-time or part-time and manage your own schedule
Flexibility to work from anywhere
Get matched with only the projects that fit you best
Learn from our community of thousands of No-Coders
Use out NoCode Academy to up-level your skills
https://www.welovenocode.com/joinus?utm_source=indeed&utm_medium=kris
Job Type: Contract
Pay: $40.00 - $100.00 per hour
Schedule:
Self-determined schedule
Work Location: Remote",glassdoor
1,"Associa
4.0
Data & Reporting Analyst
Newark, CA
Employer Provided Salary:$25.00 - $37.50 Per Hour

 Associa

Community Archives is seeking a bright, diligent Data/Reporting Analyst to join our Business Architecture team. This is an amazing opportunity for an experienced Data/Reporting professional who has excellent communication skills, resourcefulness and thrives when given new challenges. Ideal candidate must have a successful track record of enterprise business intelligence & data analytics experience. This position will work closely with the Operations and Sales departments to prioritize tasks and needs for departments and the organization.
Requirements
Responsible for creating and producing forecasts, reports, ad hoc requests, dashboards, etc. to provide insights to determine operational impacts, trends, and opportunities and act as the organization's SME (Subject Matter Expert) for its BI Application (Power BI).
Collaborate across business teams and leadership to gather requirements and specifications; work with team leaders to help devise solutions to enhance reporting and data management.
Prepare business documents and presentations for management and leadership.
Design and develop reporting tools to be deployed across the organization; develop databases and systems for inputting, managing, and securing Community Archives' data.
Qualifications
Excellent data reporting and analytical skills
Clear and effective communication
Strong prioritization and organization skills
A positive attitude with a determination to learn and grow
Strong Microsoft Excel skills
Experience working in Power BI and data modelling
Coding skills in languages such as SQL and DAX required
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.",glassdoor
2,"Net2Aspire
Jr. Data Analyst
Remote
Employer Provided Salary:$65K - $80K

  Responsible for the design, development and maintenance of informational dashboards, data and report development and processing applications and database systems for research and innovation projects.
 Responsibility includes contributing to maintenance and administration of database server environments and associated critical server applications.
 Works as part of a cross-functional team with other Data Engineers, IT staff, Data Analysts and Project Coordinators and others assigned to support projects.
 Prepare, modify and create existing or new report requests from users, both internal and external, including provider disruption reports and geographical access reports
 Work with data from large, sometimes disparate, data sources to understand and explain key drivers of the business
Job Types: Full-time, Part-time, Contract
Salary: $65,000.00 - $80,000.00 per year
Benefits:
401(k)
Health insurance
Schedule:
8 hour shift
Monday to Friday
Experience:
Data analytics: 1 year (Required)
Work Location: Remote",glassdoor
3,"Siemens
4.1
Data Analyst
Remote

 Position: Data Analyst 3
Location: 511 Benedict Ave Tarrytown, NY 10591 (REMOTE)
Duration: 12 Months
Job Description:
The Data Manager oversees the studies to drive innovative database building, data collection, tracking and review solutions from complex, diverse sources to ensure timely delivery of high-quality data in a regulated and changing global clinical trial environment.
Duties & Responsibilities:
· Conduct Study Preparation Meeting (SPM).
· Create and Validate Data Management Report Specifications.
· Work with Database Engineer to create the EDC database specification.
· Upload preliminary testing data into database.
· Conduct User Acceptance Testing (UAT).
· Create CRF Completion Guidelines.
· Create and sign-off on the Data Management Plan (DMP).
· Drive the use of data standards (i.e., CDISC).
· Participate in Study Element Team Meetings.
· Train end users on eDC system.
· Grant User Access for eDC system.
· Adds and/or updates external users' ids in GAMA.
· Contributes to departmental process improvement initiatives.
Required:
· Master’s degree in a science related field.
· At least three (5) years data management and/or related work experience in a medical device or pharmaceutical industry/company.
· Working knowledge within areas of Good Clinical Practices, Good Clinical Data Management Practices, Design and Conduct of Clinical Trials/Studies, and related regulatory requirements and terminology.
· Experience working within a Clinical EDC system (e.g., OpenClincia, Medrio, Medidata Rave).
· Exposure to clinical data coding classification systems, e.g., MedDRA, LOINC, WHO-Drug, Data Standardization (CDISC STDM &/or ADAM), Meta-Data Repository.
Programming knowledge Python or R is desired
Job Type: Contract
Schedule:
8 hour shift
Day shift
Monday to Friday
Experience:
SQL: 5 years (Required)
Python: 5 years (Required)
R: 3 years (Required)
Work Location: Remote",glassdoor
4,"Nava
Data Entry Analyst
Remote
Employer Provided Salary:$21.77 - $22.91 Per Hour

 Data Entry Analyst
Remote
4-6 month contract
The Data Entry Analyst will have experience working with SAP Master Data environments and will help input data into the customer material information records. This is a data entry person that has worked in an SAP environment. We can use H1B’s on C2C and this can be 100% remote.
Must Have experience with:
SAP environment
SAP Master Data
Customer Material or Customer Information records
Job Type: Contract
Pay: $21.77 - $22.91 per hour
Schedule:
8 hour shift
Experience:
Data Entry Analyst: 6 years (Preferred)
SAP environment: 3 years (Preferred)
SAP Master Data: 3 years (Preferred)
Customer Material: 3 years (Preferred)
Customer Information records: 3 years (Preferred)
Work Location: Remote",glassdoor
5,"Resourznet Consulting
Web Analyst
Remote
Employer Provided Salary:$40.00 - $45.00 Per Hour

 Responsibilities:
· Experience Level: 1-3 years Drive business decisions by providing quantitative and qualitative data analysis and reporting of patterns, insights, and trends to decision-makers.
· Collect, aggregate, and analyze data from multiple internal and external sources to drive insights into business performance.
· Produce actionable reports that show key performance indicators, identify areas of improvement into current operations, and display root cause analysis of problems.
· Use analytics and metrics to improve processes and provide data-driven forecasts of potential costs, risks, and profits of new business initiatives.
· Communicate findings and insight to stakeholders and provide business strategy recommendations for optimizing business performance.
· Provide reporting solutions and respond to ad-hoc report requests across multiple business areas.
· May participate in the design and development of business intelligence reporting tools.
· Entry-Level position within field. Requires little to no experience in discipline.
· Conducts routine tasks as directed. Closely supervised with little latitude for independent judgment. Typically requires up to three years of relevant experience.
Job Type: Contract
Pay: $40.00 - $45.00 per hour
Schedule:
8 hour shift
Work Location: Remote",glassdoor
6,"Rays Tech Serv
Business Analyst
Remote
Employer Provided Salary:$77K - $80K

 What You Will Do:
The Business Process Analyst will identify, develop, implement, and measure business process innovations that have a direct impact on our ability to deliver efficient, and quality IT (Information Technology) services to our client. In this role, you will work alongside client stakeholders, software developers, database architects, system analysts and systems engineers to develop and document process improvements and implement modern technologies as applicable to drive efficiencies resulting in superior services to our client.
Responsibilities include:
Work with key stakeholders to understand priorities, challenges, and business opportunities.
Responsible for analyzing and measuring the effectiveness of existing business processes and developing sustainable, repeatable, and quantifiable business process improvements.
Investigate current practices and lead brainstorming sessions to develop potential solutions for areas to improve current IT implementations to business processes.
Identify areas where modern technologies can further support mission.
Prepare milestone status reports and deliverables/presentations on the system concept to colleagues, subordinates, and end user representatives as required.
Provides with consulting on other effects of new business processes.
Provide project management and project support in the form of technical writing, configuration management, quality assurance, technical training, and data support.
Create, maintain, and communicate user stories, business requirements documents, business analysis plans, and traceability matrixes contribute to the successful delivery of a project team.
Define and improve customer systems by exploring current practices and designing modifications in a user-centered and agile method.
Provide recommendations for improvements by actively identifying problems and communicating potential risks and solutions to the customer and project team.
Foster strong relationships with internal and customer stakeholders, user experience designers, developers, and project management to effectively lead and participate collaborative working sessions.
Facilitate or participate in collaborative working sessions with your peers and customer stakeholders
Contribute to overall team effort by working with fellow project team members in the completion of tasks.
Participant in design reviews and technical demos to provide critique and feedback on the quality and performance of teamwork products
Other duties as assigned.
Requirements
What We Need:
Bachelor’s Degree in Computer Science, Information Technology, Engineering, or a related discipline. In lieu of degree we will consider a combination of education, training, certifications. and years of experience.
Apply specific functional knowledge and general knowledge to develop solutions to a variety of problems.
Experience in working collaboratively with team members, clients and stakeholders.
Minimum of three (3) years of experience focusing on business process mapping and architecture.
Experience with collecting process-related information through individual interviews or focus group facilitation.
Minimum of one (1) year of experience in building business process models, writing acceptance criteria and designing user interfaces for a production system.
Experience with JIRA/Confluence.
Strong documentation, writing, problem solving and analytical skills.
Clearance Level:
Position of Public Trust
DHS EOD (Enter on Duty) Suitability
Job Type: Full-time
Pay: $77,000.00 - $80,000.00 per year
Benefits:
401(k)
Health insurance
Paid time off
Schedule:
8 hour shift
Experience:
business process mapping and architecture: 3 years (Preferred)
JIRA/Confluence: 2 years (Preferred)
Work Location: Remote",glassdoor
7,"IBP Technologies LLC
5.0
Data Analyst
Remote
Employer Provided Salary:$65.00 - $75.00 Per Hour

 Title: 100% Remote Data Analyst
Location: 100% Remote (Phoenix or San Diego, CA)
Duration: Long Term
Note:
Remote as well as on-site for a meeting once a month.
Skills:
2 to 3 years of related experience
Advance SQL
Strong Data Analysis
Tableau
Job Types: Full-time, Contract
Pay: $65.00 - $75.00 per hour
Benefits:
Paid time off
Schedule:
8 hour shift
Monday to Friday
Application Question(s):
Years of experience As a Data Analyst:
Years of experience in Advance SQL:
Years of experience with Strong Data Analysis:
Years of experience with Tableau:
Work Location: Remote
Speak with the employer
+91 8018457476",glassdoor
8,"Info Origin, Inc.
3.2
Data Analyst
Remote
Employer Provided Salary:$70.00 Per Hour

 Examples of Job Duties: -
Collect, analyze, and present CAA and ARPA project and program data and outcomes.
Review data methodology and provide recommendations on improvements.
Develop strategies for knowledge management and information sharing.
Assist counties with collecting and reporting program data.
Assist client staff in the development of federal reporting.
Actively communicate with counties and project coordinators on relevant findings.
Develop parameters and data points for new analyses.
Compare historical and baseline data to active data reporting, and draw meaningful conclusions about program and project performance, goals, and outcomes.
Prepares presentation materials regarding results of data analyses for client staff presentations to stakeholders.
Job Type: Contract
Pay: Up to $70.00 per hour
Schedule:
8 hour shift
Work Location: Remote",glassdoor
9,"Softnice Inc.
4.0
Data Analyst
Remote
Employer Provided Salary:$100K - $200K

 Verbal and written communication skills, problem solving skills, customer service and interpersonal skills.
Basic ability to work independently and manage one’s time.
Basic knowledge of database management software.
Python
Job Type: Full-time
Pay: $100,000.00 - $200,000.00 per year
Schedule:
8 hour shift
Experience:
Python: 1 year (Preferred)
Work Location: Remote",glassdoor
