,Content,Label
0,"Teknic
Data Engineer
Remote

 Role: Data Engineer
Location: Remote
JOb Description:
Skills and Experience :
Good experience on designing and developing data pipelines for data ingestion and transformation using Spark.
Distributed computing experience using Pyspark.
Good understanding of spark framework and spark architecture.
Experience working in Cloud based big data infrastructure.
Excellent in trouble shooting the performance and data skew issues.
Must have a good understanding of spark run time metrics and tune applications based on metrics.
Deep knowledge in partitioning, bucketing concepts of data ingestion.
Good understanding of AWS services like Glue, Athena, S3, Lambda, Cloud formation.
Preferred working knowledge on the implementation of datalake ETL using AWS glue, Databricks etc.
Experience with data modelling techniques for cloud data stores and on prem databases like Teradata, Teradata Vantage (TDV) etc.
Preferred working experience in ETL development in Teradata vantage and data migration from on prem to Teradata vantage.
Proficiency in SQL, relational and non-relational databases, query optimization and data modelling.
Experience with source code control systems like Gitlab.
Experience with large scale distributed relational and NoSQL database systems.
Job Type: Contract
8 hour shift
Experience:
Data engineer: 10 years (Preferred)
Spark.: 3 years (Preferred)
Cloud based big data infrastructure.: 1 year (Preferred)
datalake ETL: 1 year (Preferred)
AWS Glue: 1 year (Preferred)
Work Location: Remote",glassdoor
1,"Expression Networks
4.4
Data Engineer
Remote

 Founded in 1997 and headquartered in Washington DC, Expression Networks provides data fusion, data analytics, software engineering, information technology, and electromagnetic spectrum management solutions to the U.S. Department of Defense, Department of State, and national security community. Expression's “Perpetual Innovation” culture focuses on creating immediate and sustainable value for our clients via agile delivery of tailored solutions built through constant engagement with our clients. Expression Networks was ranked #1 on the Washington Technology 2018's Fast 50 list of fastest-growing small business Government contractors and a Top 20 Big Data Solutions Provider by CIO Review.

We make sure to provide everyone the tools and opportunities to grow while working on some of the newest technologies in the industry. With Covid-19 being a major theme the last two years having a growing collaborative culture has been one of the key focus of our C-suite and upper management. We get excited about celebrating our professionals' milestones, accomplishments, promotions, overcoming challenges, and many other aspects that make an engaging collaborative environment.

We are looking to bring on a mid-level Data Engineer to add to the continued growth of our Data Science division. This position will work in a team led by a principal data engineer on tasks related to designing and delivering high-impact data architecture and engineering solutions to our customers across a breadth of domains and use cases.
Location:
Remote, with the ability to travel per project requirements.
Security Clearance:
Ability to obtain Secret Clearance or Higher
Responsibilities:
Developing, testing, and documenting software code for data extraction, ingestion, transformation, cleaning, correlation, and analytics
Participating in end-to-end architectural design and development lifecycle for new data services/products, and making them operate at scale
Participating in cross-functional team collaboration to understand customer requirements, design prototypes, and optimize existing data services/products
Demonstrating Data Science excellence in the teams you work with across the organization, and mentoring junior members in the Data Science division
Participating in research, case studies, and prototypes on cutting-edge technologies and how they can be leveraged
Required Qualifications:
3+ years of experience bringing databases, data integration, and data analytics/ML technologies to production with a Bachelor's degree in Computer Science/Data Science/Computer Engineering or relevant field
Mastery in developing software code in one or more programming languages (Python, JavaScript, Java, Matlab, etc.)
Expert knowledge in databases (SQL, NoSQL, Graph, etc.) and data architecture (Data Lake, Delta Lake)
Knowledgeable in machine learning/AI methodologies
Experience with one or more SQL-on-Hadoop technology (Hive, Impala, Spark SQL, Presto, etc.)
Preferred Qualifications:
Experience in short release cycles and the full software lifecycle
Experience with Agile development methodology (e.g., Scrum)
Strong writing and oral communication skills to deliver design documents, technical reports, and presentations to a variety of audiences
Benefits:
Expression Networks offers competitive salaries and benefits, such as:
401k matching
PPO and HDHP medical/dental/vision insurance
Education reimbursement up to $10,000/yr.
Complimentary life insurance
Generous roll over PTO and 11 days of holiday leave
Onsite gym facility and trainer
Commuter Benefits Plan
In office Cold Brew Coffee
Equal Opportunity Employer/Veterans/Disabled",glassdoor
2,"TikTok
3.7
(HackerRank) Software Engineer, University Graduate (TikTok-Data-Comment)- 2023 Start (BS/MS)
Mountain View, CA
$115K - $189K (Glassdoor est.)

 Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

Team Introduction
Our team is in charge of two main scopes, TikTok content growth and comment. For the first one, we are working on building the best experience for creators and facilitate the growth of high quality contents on the platform. For the second one, we are working on improving our user experience in our comment section, including comment safety, ranking, atmosphere and interactions.

We are looking for talented individuals to join our team in 2023. As a graduate, you will get unparalleled opportunities for you to kickstart your career, pursue bold ideas and explore limitless growth opportunities. Co-create a future driven by your inspiration with TikTok.

Successful candidates must be able to commit to one of the following start dates below:
1. January 16, 2023
2. February 6, 2023
3. March 6, 2023
4. May 22, 2023
5. June 12, 2023
6. July 17, 2023
7. August 14, 2023
We will prioritize candidates who are able to commit to these start dates. Please state your availability and graduation date clearly in your resume.

Application deadline: February 15th, 2023
Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.

Technical Assessment
Candidates who pass resume evaluation will be invited to participate in TikTok's technical online assessment in HackerRank.

Responsibilities
Build new features that touch hundreds of millions of people around the world
Solve unique, large-scale, highly complex technical problems
Partner with PMs, designers, engineers from different teams on building backend support for mobile application
Participate in technical discussions related to team's product and engineering work
Qualifications
Bachelor's or Master's degree in Computer Science or related fields or equivalent practical experience
Bachelor's or Master's degree in Computer Science or related fields or equivalent practical experience
Final year or recent graduate with a background in Software Development, Computer Science, Computer Engineering, or a related technical discipline
Experience with coding in Python, Java, Golang, C#, or C++
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.
Preferred Qualifications:
Demonstrated software engineering experience from previous internship, work experience, coding competitions, or publications
Curiosity towards new technologies and entrepreneurship
High levels of creativity and quick problem-solving capabilities
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at Accommodations-AMS@tiktok.com.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.",glassdoor
3,"Denken Solution's Inc
Data Engineer
California, KY
Employer Provided Salary:$84K - $189K

 Role: Data Engineer
Location: Avery Rd, California
Duration: W2 Full Time
Job Description:
""Big Data developers with hands-on experience in building data pipeline applications
5+ yrs of hands-on experience in building Big Data applications using SQL/NoSQL technologies in the Hadoop ecosystem
-Strong MapReduce/Java app development experience & UNIX shell scripting skill
-Prepare Env for science model training
-Investigation and initial work to connect with new system (Ex. key-value store, remote service)
-SHP, eSHP topology
-TnV web crawling pipeline
-SRT batch scoring pipeline
-SRT model updating pipeline
-Hive, Pig with custom UDF implementation in Java
-MySQL
-Oozie
-Git, Maven
-Spark
-Plus: Kafka, DevOps, CI/CD""
Primary Skills:
""Java, Python, Oozie, Pig, Scala, SageMaker, Hive, Airflow, AWS
Job Types: Full-time, Contract
Salary: $84,227.91 - $189,097.26 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Relocation assistance
Schedule:
8 hour shift
Supplemental pay types:
Commission pay
Signing bonus
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Speak with the employer
+91 (949) 822 -3203",glassdoor
4,"Sedna Consulting Group
4.1
Data Engineer
Remote
Employer Provided Salary:$60.00 - $70.00 Per Hour

 **W2 Candidates Only**
USC and GC
Title: Data Engineers-
Location: Remote
Rate: $__/hr W2
Start Date: Immediate,
Duration: 1 year
Job Description:
Handles Data Analytics Platforms for Pepsico, incl Master Data for SAP, HANA, Azure, essentially all data. Large organization.
Looking for data engineers, hands on, individual contributors, to functionally map/move data from SAP and load it into Pepsico’s Legacy systems. Must understand mapping and have basic SAP knowledge. ETL knowledge (Informatica) a must.
7+ years of experie
Job Type: Contract
Pay: $60.00 - $70.00 per hour
Schedule:
8 hour shift
Experience:
SQL: 7 years (Preferred)
Data warehouse: 7 years (Preferred)
Azure: 7 years (Preferred)
SAP HANA: 7 years (Preferred)
Work Location: Remote",glassdoor
5,"DGN Technologies
4.8
Data Engineer
Peachtree Corners, GA
Employer Provided Salary:$70.00 Per Hour

 Position Title: Data Engineer 3
Location: Norcross, GA (hybrid)
Role Type: Long term contract
Description
Primary Function of Position:
Roles and Responsibilities:
Data Engineer: Designs, builds and oversees the deployment and operation of technology architecture, solutions and software to capture, manage, store and utilize structured and unstructured data from internal and external sources. Establishes and builds processes and structures based on business and technical requirements to channel data from multiple inputs, route appropriately and store using any combination of distributed (cloud) structures, local databases, and other applicable storage forms as required. Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data and to maintain, defend and update data structures and integrity on an automated basis. Creates and establishes design standards and assurance processes for software, systems and applications development to ensure compatibility and operability of data connections, flows and storage requirements. Reviews internal and external business and product requirements for data operations and activity and suggests changes and upgrades to systems and storage to accommodate ongoing needs.
Designing, implementing and testing cloud computing solutions using Snowflake technology
Strong SQL, Python, Tableau Skills
Create, Monitor, and optimize processes
A solid experience and understanding of architecting, designing and operationalization of large scale data and analytics solutions on Snowflake Cloud Data Warehouse is a must
Good written and communication skills
Excellent team-building skills
Thank you
Job Type: Contract
Pay: $70.00 per hour
Benefits:
401(k)
Health insurance
Schedule:
8 hour shift
Education:
Bachelor's (Preferred)
Experience:
DATA ENGINEERING: 5 years (Required)
SNOWFLAKE: 3 years (Required)
SQL: 5 years (Required)
Python: 1 year (Preferred)
Work Location: One location",glassdoor
6,"confidentioal
Data Engineer
Remote
Employer Provided Salary:$60.00 - $63.00 Per Hour

 Heavy spark and SCALA everything else is a nice to have
SPARK / SCALA/ SQL > PYTHON and JAVA are fine as long as they understand SPARK/SCALA
“Really need someone who is a smart with some data structures
Good to have: Data science experience, data pipelines, data structures
They have extensive pipelines in spark and Scala but also building new ones
SQL- do not do a lot of SQL. Someone who is advanced in Spark will be good enough in SQL for this role.
Batch processing; not real time data
Good in spark, scala, good with data structures
Cloud requirement is GCP; cloud experience is good to have from Azure, GCP, AWS
Fundamentally understand how to create tables, not too high level
Do not need data mining
Job Types: Full-time, Contract
Salary: $60.00 - $63.00 per hour
Schedule:
8 hour shift
Work Location: Remote",glassdoor
7,"Violet Ink
4.2
Data Analytics Engineer
Remote
Employer Provided Salary:$130K

 RESPONSIBILITIES:
Participate effectively in relevant aspects of software development life cycle (SDLC) including planning, construction, testing, reviews and demonstrations.
Collaborate with team to design, develop, test and refine deliverables.
Investigate and resolve application issues as needed
Package, configure and deploy software
Collaborate with clients, Product Managers, Architects, & Analysts to develop and review requirements & design.
Review and create system, software and functional design specifications that address requirements.
Write scripts/procedures/statements using DML and DDL (SQL statements) against databases such as Oracle, SQL Server, DB2, etc.
Design and develop multi-dimensional data models using star and snowflake schemas, denormalized data structures, slowly changing dimensions, etc.
Use data architectural techniques such as enterprise data warehouse, data federation, hub & spoke architectures, independent data marts, etc.
Use data integration tools and techniques such as ETL (Extract Transform Load), CDC (Change Data Capture), etc.
Design and develop analytical data models to support static and ad-hoc reports, analytics and research, dashboards, data mining, trending, creation of key performance indicators, predictive modeling, etc.
Deliver BI content via portals, thin/thick clients, email, mobile, etc.
Participate in project planning and release management.
Expected to manage broader or multiple projects at a time.
Acts as an expert source of technology and application knowledge within their domain technologies
Participating in Business planning, IT strategy and setting direction
Performs other related duties as assigned.
QUALIFICATIONS REQUIRED:
7-10 yrs of directly related experience in Data Analytics / Business Intelligence
Minimum of 6 years of hands-on experience with SQL and RDBMS
Minimum of 6 years of hands-on experience with data engineering including ETL and data warehousing
Minimum of 4 years of hands-on experience with building semantic-layer business intelligence solutions including metrics, dashboards and data visualizations
Expert problem-solving skills to rapidly create ad-hoc queries to answer complex business questions or debug data issues
Experience developing complex queries against the normalized and dimensional data model
Ability to work cooperatively as part of a team, as well as independently
Excellent verbal and written communication skills
Job Type: Full-time
Pay: From $130,000.00 per year
Schedule:
8 hour shift
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: Remote",glassdoor
8,"Quadrant Resource
4.3
Data Engineer
Remote

 JOB DESCRIPTION:
We are looking for a Data Engineer. Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. He should have experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Should have strong analytic skills related to working with unstructured datasets.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
They should also have experience using the following software/tools:
Should be experienced in Python, Azure Data Bricks and Azure Synapse.
Job Type: Contract
Schedule:
8 hour shift
Experience:
Python: 5 years (Preferred)
SQL: 5 years (Preferred)
Data Bricks: 3 years (Preferred)
Azure: 3 years (Preferred)
Azure Synapse: 3 years (Preferred)
Work Location: Remote",glassdoor
9,"Laiba Technologies
3.6
GCP Data Engineer
Remote
Employer Provided Salary:$70.00 - $75.00 Per Hour

 Experience with Google Cloud Platform GCP, BigQuery, and the challenges of building GCP based data lakes, APIGEE Terraform Understand the challenge of migrating legacy data platforms to cloud and modern architecture.
Experience with the following services:
PubSub, Cloud Functions, DataFlow, DataProc Cloud Storage, BigQuery, BigTable, DataLab, DataStudio, Micro services APIGEE Expertise in traditional SQL and NoSQL databases Experience with Data lake, data warehouse ETL, SOAP to REST Microservices migration Build Design Deploy Must be good in Java. Must have GCP experience with Java Background 8 years of experience as a Data Engineer or Analytics Engineer handling large data pipelines and platforms.
Job Type: Contract
Salary: $70.00 - $75.00 per hour
Schedule:
8 hour shift
COVID-19 considerations:
Wear mask
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: Remote",glassdoor
