,Content,Label
0,"Infoserv LLC
Data Scientist
Remote
Employer Provided Salary:$30.00 - $35.00 Per Hour

 Only W2 candidates right now we are unable to work with the employer
Programming Skills – knowledge of statistical programming languages like R, Python, and database query languages like SQL, Hive, Pig is desirable. Familiarity with Scala, Java, or C++ is an added advantage.
Job Type: Contract
Pay: $30.00 - $35.00 per hour
Schedule:
8 hour shift
Supplemental pay types:
Bonus pay
Work Location: Remote",glassdoor
1,"ExxonMobil
3.1
Data Scientist
Clinton, NJ
$94K - $144K (Glassdoor est.)
Apply on company site
 About us

At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world’s largest publicly traded energy and chemical companies, we are powered by a unique and diverse workforce fueled by the pride in what we do and what we stand for.

The success of our Upstream, Product Solutions and Low Carbon Solutions businesses is the result of the talent, curiosity and drive of our people. They bring solutions every day to optimize our strategy in energy, chemicals, lubricants and lower-emissions technologies.

We invite you to bring your ideas to ExxonMobil to help create sustainable solutions that improve quality of life and meet society’s evolving needs. Learn more about our What and our Why and how we can work together.
Job Description

Data Scientists in our team work collaboratively with research teams and business units to discover, develop, and apply cutting-edge computing technologies and tools for solving ExxonMobil’s toughest energy challenges. Areas of research have included image, video, and acoustic pattern recognition, text analytics, process and event detection, physics and data driven hybrid models, inferential statistics, and automated data and model interpretations. This position will be located in Clinton, NJ within the Data Analytics and Optimization section in the Energy Sciences and Technology division.

The team works in a highly agile and collaborative environment and candidates have the opportunity to work in partnership with experimental, theoretical, and computational scientists across the organization. We are seeking candidates that have the curiosity and ingenuity required to quickly learn a knowledge domain well enough to interact effectively with ExxonMobil experts in that domain. Our team members have diverse backgrounds in computational sciences. Research domains include, but are not limited to: Artificial Intelligence, Data Analytics & Optimization, Big Data, Bioinformatics, and Chemical/Mechanical/Petroleum/Civil/Electrical/Industrial Engineering.
Job Requirements

Science or Engineering advanced degree (Ph.D.) with strong computational background, excellent analytical/problem solving skills, and passion in learning as well as in programming
Examples of Science and Engineering degrees are Chemical Engineering, Computer Science, Computer Engineering, Mechanical Engineering, Petroleum Engineering, Electrical Engineering, Industrial Engineering, Applied Mathematics, Computational Chemistry, Physics, Biology, etc

Essential Skills:

Demonstrated ability to solve challenging data science problems by developing novel and/or adapting existing computational methods is required.
Strong background in multivariate statistics and Machine learning (supervised learning, semi-supervised learning, reinforcement learning, unsupervised learning) and specific techniques (ElasticNet, support vector machines, random forest, gradient boosting, MARS, Bayesian inference, hyper-parameter tuning, validation and testing, etc.)
Proficient programming skills with Python, Matlab, Julia, or R
Skilled with core data science stack (sci-kit, pandas, numpy, scipy, statsmodels, matplotlib, etc) and deep learning libraries (TensorFlow, PyTorch, or MXNet)
Software development skills (unit testing, debugging, version control)
High performance computing (shell scripting, parallelization)

Knowledge and/or experience in the following is preferred:

Expertise in one or more advanced machine learning areas such as (but not limited to) Image Processing , Natural Language Processing and Reinforcement Learning
Experience with databases (SQL and NoSQL)
Experience with big data architectures, pipeline and implementation
Experience in adapting foundational computing structures (mathematical models) with machine learning models
Self-motivated and driven to learn
Works well in a team environment with researchers and scientists
Excellent verbal and written communication skills for effective collaboration

ExxonMobil is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, sexual orientation, gender identity, national origin, citizenship status, protected veteran status, genetic information, or physical or mental disability.

Nothing herein is intended to override the corporate separateness of local entities. Working relationships discussed herein do not necessarily represent a reporting connection, but may reflect a functional guidance, stewardship, or service relationship.

Exxon Mobil Corporation has numerous affiliates, many with names that include ExxonMobil, Exxon, Esso and Mobil. For convenience and simplicity, those terms and terms like corporation, company, our, we and its are sometimes used as abbreviated references to specific affiliates or affiliate groups. Abbreviated references describing global or regional operational organizations and global or regional business lines are also sometimes used for convenience and simplicity. Similarly, ExxonMobil has business relationships with thousands of customers, suppliers, governments, and others. For convenience and simplicity, words like venture, joint venture, partnership, co-venturer, and partner are used to indicate business relationships involving common activities and interests, and those words may not indicate precise legal relationships.",glassdoor
2,"eBay Inc.
4.1
Data Scientist/Applied Researcher
San Francisco, CA
$123K - $182K (Glassdoor est.)
Apply on company site
 Looking for a company that inspires passion, courage and creativity, where you can be on the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If you’re interested in joining a purpose driven community that is dedicated to crafting an ambitious and inclusive work environment, join eBay – a company you can be proud to be with.
You are
Well versed in areas such as applied statistics, machine learning, data mining and general algorithms. You have a background in computer science or math and a graduate degree in computer science, math, physics, computational biology, economics, or some other science.
A hacker. If something, you need doesn’t exist you don’t wait around, you go and build it. Then you share it with others on the team and turn it into an open source project.
Proficient with data stores like SQL and Hadoop. You’re not necessarily an expert, but you’ve written some queries and done some map reducing.
Inherently curious. You want to know whether the distribution of the query frequency on ebay.com is Zipfian and what family of random graphs models the relationship between sellers and buyers on eBay.
A polyglot programmer. You probably have a favorite language like Scala or R but you can jump in and write some Java or C as needed.
Results oriented. Research is great but you want to see your creation live and breathe. You have a history of building things and solving real problems.
You will
Be directly responsible for improving search at eBay via services such as spell corrections, result set ranking, related searches, synonym/acronym expansions, and query rewrites.
Conceptualize, code, deploy, and iterate on designs from prototypes all the way through to production systems.
Analyze petabytes of real-world performance data to understand patterns and trends.
Transform data insights into useful reports, targeting algorithms, and model features.
Provide technical expertise in statistical analysis, data mining, machine learning, NLP, and Information Retrieval.
Work jointly with architects, engineers, QE, and operations to deliver complex applications.
Benefits are an essential part of your total compensation for the work you do every day. Whether you’re single, in a growing family, or nearing retirement, eBay offers a variety of comprehensive and competitive benefit programs to meet your needs. Including maternal & paternal leave, paid sabbatical, and plans to help ensure your financial security today and in the years ahead because we know feeling financially secure during your working years and through retirement is important.
Here at eBay, we love creating opportunities for others by connecting people from widely diverse backgrounds, perspectives, and geographies. So, being diverse and inclusive isn’t just something we strive for, it is who we are, and part of what we do each and every single day. We want to ensure that as an employee, you feel eBay is a place where, no matter who you are, you feel safe, included, and that you have the opportunity to bring your unique self to work.
To learn about eBay’s Diversity & Inclusion click here: https://www.ebayinc.com/company/diversity-inclusion/
#LI-TN!
#LI-JS5
#LI-HYBRID
#LI-ONSITE
eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible. Jobs posted with location as ""Remote - United States (Excludes CO, HI, NM)"" excludes Colorado, Hawaii and New Mexico.",glassdoor
3,"TikTok
3.7
Data Scientist, University Graduate - 2023 Start (BS/MS)
Mountain View, CA
$108K - $167K (Glassdoor est.)
Apply on company site
 Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

Team Introduction
Our TikTok data team is responsible for developing state-of-the-art machine learning models and strategies to improve user consumption experience, inspire creativity, build a fair and flourishing ecosystem.

Successful candidates must be able to commit to one of the following start dates below:
1. January 16, 2023
2. February 6, 2023
3. March 6, 2023
4. May 22, 2023
5. June 12, 2023
6. July 17, 2023
7. August 14, 2023
We will prioritize candidates who are able to commit to these start dates. Please state your availability and graduation date clearly in your resume.

Application deadline: February 15th, 2023
Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early.

Responsibilities
Design analysis framework according to the business objectives, and indicator system to evaluate business performance.
Build data indicator reports, monitor indicator changes, and perform attribution analysis of changes;
In-depth analysis of user data, mining the optimization space of product experience and recommendation strategies, and producing executable data insights; cooperating with product managers and algorithm engineers to promote the implementation of optimization;
Through rigorous AB experimental design and causal inference analysis, quantitatively verify business assumptions and evaluate optimized benefits;
Research on ecological topics such as content evolution, creator ecology, and social networks.
Qualifications
Final year or recent graduate with a background in Software Development, Computer Science, Computer Engineering, or a related technical discipline
Final year or recent graduate with a background in Software Development, Computer Science, Computer Engineering, or a related technical discipline
Familiar with commonly used statistical analysis methods, proficient in the use of scripting languages such as SQL, R, Python;
Good logical thinking ability, problem interpretation ability and fast learning ability;
Sensitive to numbers, passionate about analysis, and believe in data-driven value;
Good communication skills, team spirit and initiative.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at Accommodations-AMS@tiktok.com.

By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.",glassdoor
4,"Mastercard
4.3
Data Scientist, AI Services - Mastercard Launch 2023
O'Fallon, MO
Apply on company site
 Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Job Title
Data Scientist, AI Services - Mastercard Launch 2023
Why is Mastercard for you?
Mastercard designs and builds the critical systems that power global commerce and connect billions of people everywhere to the vital goods and services they need every day. We are building a future that extends well beyond payments technology with cutting-edge products and services that solve hard and exciting challenges, across payments, open banking, cryptocurrencies, digital identity, large-scale data analysis and cyber security. Our technology builds trust and supports more than 300 million transactions every day across 210 countries and territories.

When you join Mastercard, you will work towards bringing more people everywhere into the digital economy: There can be no “left behind” and no “hard to reach”. Our teams are brought together by our common purpose and commitment to quality and innovation at scale. You will work side by side with leadership to overcome challenges together. Mastercard cultivates a culture of inclusion for all employees that values their individual strengths, views, and experiences. Follow your own path, with the flexibility to move between roles, teams and our global tech hubs. You can choose for yourself whether you want to become an expert, grow as a people manager, explore global markets, or learn entirely new skills.

Technology Strategy and Transformation (TST)
The Technology Strategy and Transformation team is responsible for connecting dots across Mastercard via transforming Mastercard Technology “ways of working”, driving operational excellence through innovation, scalability, and continuous improvement of cultural and organizational transformation. We are looking for passionate people to help us reshape the future at Mastercard, and who are eager to grow their skills.

Join TST team to become a part of the Mastercard Transformation Journey to build Mastercard of Tomorrow by bringing together people, products, processes, and technology and drive impact across our key objectives:
Shaping and communicating the Technology Strategy
Enabling technology strategy execution and modernization
Creating financial, operational and performance transparency for market facing and internal products
Enabling MA teams using Advanced Analytics and AI

As a data scientist on our AI Services team, you will:
Work with senior data scientists to develop and deliver innovative ML/AI solutions for various data science projects.
Gain a clear understanding of business operations and data needed to solve problem statements for specific projects.
Pull and prepare data, train and test models, and be responsible for overall execution on projects using Mastercard operational and transaction data to glean insights for our partners.
Support machine learning engineers in the deployment and operation of AI Services applications
Maintain a current knowledge of advanced ML/AI tools and techniques

All about you
Currently enrolled in a bachelor’s or accelerated master’s degree program majoring in data science, mathematics, statistics, computer science, electrical engineering, or a related field with a graduation date of Fall 2022 or Spring 2023
Strong interest in artificial intelligence, machine learning, or statistics. Interest in the payments industry a plus
A love of learning and excited to work in a small, high-impact team
Strong problem solving, data science, software engineering, and mathematical skills
A collaborative, team-oriented nature
Comfortable working side by side with our leadership to solve exciting problems together
COVID-19 Considerations
In many locations, we’ve implemented a virtual hiring process and continue to interview candidates by video or phone. In addition, in our NYC offices, as required by law, only individuals who have been fully vaccinated against COVID-19 will be permitted inside Mastercard offices unless a reasonable accommodation has been approved in advance.
In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.
Corporate Security Responsibility
All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:
Abide by Mastercard’s security policies and practices;
Ensure the confidentiality and integrity of the information being accessed;
Report any suspected information security violation or breach, and
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.",glassdoor
5,"Infotree Global Solutions
4.4
Data Scientist
Cupertino, CA
Employer Provided Salary:$62.00 - $65.00 Per Hour

 Data Scientist
Job Description (including duties, skills, education):
SQL, Python, Athena/Spark
Experience to work with big data
Work with the team to develop infrastructure for data processing pipelines
- PYQT, JavaScript, HTML is good to have
- Good to have computer vision knowledge
Job Type: Contract
Salary: $62.00 - $65.00 per hour
Schedule:
8 hour shift
Monday to Friday
Application Question(s):
Please suggest the best time and number to reach you.
Experience:
Python: 3 years (Required)
SQL: 3 years (Required)
Data Science: 3 years (Required)
Work Location: One location",glassdoor
6,"E-Solutions IT Service PVT LTD
3.9
Data Scientist
Remote
Employer Provided Salary:$150K - $165K

 Role : Data Scientist-Engineer/Architect
location : Denver, CO (ability to travel to Denver weekly or relocate)
Full time job
Minimum qualifications:
Bachelor's degree or equivalent practical experience.
5 years of experience with software development in one or more programming languages
3 years of experience in a technical leadership role; overseeing projects, with 2 years of experience in a people management, supervision/team leadership role
3 years of experience building and developing large-scale infrastructure, distributed systems, and data decisioning models
Demonstrated ability to work and develop trusted relationships with industry subject matter experts to develop complex solutions
Based in the United States with ability to travel to Denver or relocate
Preferred qualifications:
3 years of experience driving wireless provisioning solutions
3 years of working with back office wireless telephony systems
3 years of experience working in a complex matrixed organization.
Experience leading effective engineering teams in delivering scalable and robust mission-critical systems/infrastructure.
Experience working with and managing external partners and/or customers.
Experience collaborating across functions (e.g., Program Management, Customer Experience, IT, Data Analytics, Operations, Finance, Support).
Master's degree or PhD in Computer Science or related technical field.
Job Type: Full-time
Pay: $150,000.00 - $165,000.00 per year
Schedule:
8 hour shift
Experience:
Data science: 4 years (Preferred)
Work Location: Remote
Speak with the employer
+91 6698424976",glassdoor
7,"Unilever
4.1
Data Scientist
Remote
Apply on company site
 Data Scientist
Unilever is a leading multi-national “Fast Moving Consumer Goods” company, with world leading brands such as Lipton, Dove, Axe, Omo, Knorr, and Hellmans. Unilever has extensive R&D facilities around the globe with a mission to build brands through world-class innovation by unlocking science and technology. To meet the sustainable business growth challenge of the next decade, Unilever R&D aims to transform its approach to scientific discovery and product development, through a Digital Transformation program. The Digital R&D team is leading this transformation of R&D through programs in Big Data Analytics, Predictive modeling and Product Life Cycle Management with a view to driving speed, efficiency and connectivity of R&D. The Modelling & Analytics team provides leading edge statistics, data science, data management, modelling and simulation expertise to deliver predictive models and advanced analytics for new insights to the category programs across all R&D functions. The focus of the M&A, Consumer & Biology team is in the design and planning of experiments, analyses of data, building and validating predictive models and interpretation and exploitation of outcomes together with the project team in the domain areas of consumer insights and life-sciences research. The products and brands we support are across Unilever’s 5 Business groups – Beauty & Wellbeing, Personal Care, Home Care, Nutrition & Ice Cream.

We are looking for a Data Scientist who will support our Modelling & Analytics teams in R&D with insights gained from analyzing data to accelerate product innovation. The ideal candidate is adept at combining and analyzing large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong background in statistical modelling and machine learning methods; have experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Job Responsibilities:
Engage and collaborate with globally deployed, multi-disciplinary teams to design and implement efficient, well-focused, statistically appropriate studies, analyses, and visualizations. and interpret data, build and validate predictive models and simulations
Build, deploy, and monitor machine learning models for prediction and optimization
Work in inter-disciplinary teams that will include product formulators, process/packaging engineers, clinicians, measurement scientists, bio-informaticians, claim experts, and other data scientists, both internal to Unilever and external partners.
Serve as a data science/statistics expert across a range of R&D disciplines to define and execute analytics and modelling approaches
Take ownership of the quality and defensibility of statistical analyses, models, and interpretation.

Education
The candidate should have a bachelor’s degree in Statistics, Mathematics, Data Science, Computer Science, or a related field. A master’s degree in the same is preferred. Experience in FMCG/Retail/Pharmaceutical industries is a plus.

Technical Skills:
Strong technical background in multivariate statistical methods e.g. regression, PCA, Design of Experiments, and Monte Carlo simulations. Knowledge of Bayesian methods is a plus.
Good understanding of the underlying principles/best practices to build and validate predictive models.
At least one year of experience applying machine learning techniques to tabular datasets (e.g. ElasticNet, random forests, GBM, XGBoost).
At least one year of experience using a statistical programming language such as R, Python, Julia, etc. to manipulate and draw insights from data.
Strong understanding of evaluation and explanation techniques in machine learning, e.g. overfitting, bias, cross validation, LIME, SHAP, etc.
Experience performing ETL with SQL and NoSQL databases.
Experience with developing data science web applications (e.g. Dash, Streamlit, R Shiny, Django).
Familiarity with cloud computing platforms (Azure, AWS, GCP) is a plus.
Familiarity with natural language processing techniques (e.g. TF-IDF, word vectorization, RNNs, transformers, etc.) is a plus.

Soft Skills:
Strong problem-solving skills with a focus on business delivery
Strong oral and written communication skills
Ability to collaborate and consult effectively in global teams across time-zones and cultures
Curiosity and interest in learning and mastering new technologies and techniques
Ability to work with uncertainty and to create and manage change

For office-based, Research & Development, and remote positions, proof of COVID-19 vaccination is required to be eligible for employment. Religious and/or medical accommodations will be considered on a case-by-case basis.

-
Unilever is an organization committed to diversity and inclusion to drive our business results and create a better future every day for our diverse employees, global consumers, partners, and communities. We believe a diverse workforce allows us to match our growth ambitions and drive inclusion across the business. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.For more information, please see
Equal Employment Opportunity Posters


Employment is subject to verification of pre-screening tests, which may include drug screening, background check, credit check and DMV check.

If you are an individual with a disability in need of assistance at any time during our recruitment process, please contact us at
NA.Accommodations@unilever.com
. Please note: This email is reserved for individuals with disabilities in need of assistance and is not a means of inquiry about positions or application statuses.
#LI-Remote",glassdoor
8,"Edify Technologies, Inc.
Senior Data Scientist
Remote
Employer Provided Salary:$90.00 - $95.00 Per Hour

 Lead Data Scientist
Senior Data Scientist's responsibilities will include:
Develop and lead complex projects using advanced analytics techniques. Translate conceptual questions and ideas into data-driven analyses to allow informed decision-making and solution development.
Collect unstructured and structured data from multiple sources and employ programming to clean, organize, and transform the data.
Experiment against data points, find hidden patterns and deliver previously undiscovered solutions.
Required Skills:
Python, Spark, Azure ML, Azure Data Factory (ADF), Azure DevOps, etc.
Job Type: Contract
Salary: $90.00 - $95.00 per hour
Schedule:
8 hour shift
Experience:
EDI: 6 years (Preferred)
B2B: 6 years (Preferred)
AXWAY: 7 years (Preferred)
Work Location: Remote
Speak with the employer
+91 6302824548",glassdoor
9,"WhirlWind Technologies, LLC
4.8
Jr. Data Scientist
Remote
Employer Provided Salary:$86K - $110K

 Job Title/Level
Jr. Data Scientist

Location
100% Remote

Salary

$86,000-$110,000 Annually

Schedule
Full Time

Preferred Clearance
Must be able to obtain a Public Trust Clearance

Covid Vaccination

As a condition of employment, employees will be required to provide proof of their COVID-19 vaccination.

Company Overview
WhirlWind is on a mission to help each client succeed by using our management consulting and technology expertise. We design, build, and manage secure environments that support data-driven decision making and data-powered products. Our services transform governments and enhance the lives of citizens.

Our people are driven and committed to our mission. If you want to join a team of rock stars who do incredible, purposeful work, and have fun doing it, come thrive with us and be one of the heroes behind our success. We offer an attractive benefits package including a competitive base salary and have been voted the Best Place to Work for 2022.

Position Overview

WhirlWind Technologies, LLC has an immediate opening for a Junior Data Scientist with projects relating to data science, artificial intelligence (AI), or familiarity with key concepts in each field while working remotely. This role will work closely with machine learning projects' Product Owners and the customer's fellowship program. The ideal candidate is a recent graduate with 2+ years of experience with strong abilities to approach complex problems creatively, to lead their portion of work skillfully, and to help devise the delivery of thoughtful solutions as a part of a growing team. This position will report directly to the WhirlWind EDSDI Program Manager.

Top 3 Outcomes in Year 1

With your leadership and technical skills, achieve a state-of-the-art, highly automated, and interactive data visualization system
Lead and obtain organic growth of the current IT contract and client account
Achieve and/or increase customer satisfaction through mutually agreeable performance metrics

Essential Duties & Responsibilities

Develop methods and procedures for collection and analysis of data from several data sources
Monitor, review, and validate customer data is collected and processed on schedule
Automate data collection from various external data sources and data type
Lead requirements gathering from customer and stakeholders and create interactive data visualization dashboards that meet or exceed customer requirements and expectations
Identify and integrate tools to enhance data visualization efficiencies and effectiveness such as machine learning (ML), artificial intelligence (AI), and robotics process automation (RPA)
Proactively seek an understanding of the customer's business, mission, and vision to provide additional thought leadership to achieve their goals
Create clear and concise presentations as needed to communicate with the customer and stakeholders the status of projects and assigned tasks
Provide weekly written status reports and brief customer weekly on the status of the project activities

Required Qualifications

Ability to attain Public trust position
Experience in one or more of the following: Python, Julia, C, C++, R, MATLAB, Java, Scala, EMR/spark or similar
Experience designing, training, using, and/or deploying machine learning models
Comfortable implementing modern software development practices, i.e. version control, continuous integration, test-driven development, etc.
A recent graduate with a Bachelors or Master's degree in Computer Science, Engineering, or similar relevant field experience
Knowledge of application system analysis and data analytics
Knowledge of business intelligence software
Professional attitude, with a strong self-directed work ethic and the ability to work in a fast-paced, dynamic environment
Solid communication skills, both verbal and written

Preferred Qualifications

2+ years of experience in one or more of the following: Python, Julia, C, C++, R, MATLAB, Java, Scala, EMR/spark or similar
Previous working experience as a data scientist or machine learning
Basic knowledge of Agile process and principles
Outstanding communication, presentation, and leadership skills
Excellent organizational and time management skills
Sharp analytical and problem-solving skills
Attention to details",glassdoor
